K2,Dipotassium,,,123.7,,,87.5,,,249.7
K2O,Potassium oxide,-361.5,,,,,,,,
K2O2,Potassium peroxide,-494.1,,,-425.1,,,102.1,,
K2O4S,Potassium sulfate,-1437.8,,,-1321.4,,,175.6,,
K2S,Potassium sulfide,-380.7,,,-364.0,,,105.0,,
K3O4P,Potassium phosphate,-1950.2,,,,,,,,
Kr,Krypton,,,0.0,,,,,,164.1
La,Lanthanum,0.0,,431.0,,,393.6,56.9,,182.4
LaS,Lanthanum sulfide,-456.0,,,-451.5,,,73.2,,
La2O3,Lanthanum oxide,-1793.7,,,-1705.8,,,127.3,,
Li,Lithium,0.0,,159.3,,,126.6,29.1,,138.8
LiNO2,Lithium nitrite,-372.4,,,-302.0,,,96.0,,
LiNO3,Lithium nitrate,-483.1,,,-381.1,,,90.0,,
Li2,Dilithium,,,215.9,,,174.4,,,197.0
Li2O,Lithium oxide,-597.9,,,-561.2,,,37.6,,
Li2O2,Lithium peroxide,-634.3,,,,,,,,
Li2O3Si,Lithium metasilicate,-1648.1,,,-1557.2,,,79.8,,
Li2O4S,Lithium sulfate,-1436.5,,,-1321.7,,,115.1,,
Li2S,Lithium sulfide,-441.4,,,,,,,,
Li3O4P,Lithium phosphate,-2095.8,,,,,,,,
Lr,Lawrencium,0.0,,,,,,,,
Lu,Lutetium,0.0,,427.6,,,387.8,51.0,,184.8
Lu2O3,Lutetium oxide,-1878.2,,,-1789.0,,,110.0,,
Md,Mendelevium,0.0,,,,,,,,
Mg,Magnesium,0.0,,147.1,,,112.5,32.7,,148.6
MgN2O6,Magnesium nitrate,-790.7,,,-589.4,,,164.0,,
MgO,Magnesium oxide,-601.6,,,-569.3,,,27.0,,
MgO4S,Magnesium sulfate,-1284.9,,,-1170.6,,,91.6,,
MgS,Magnesium sulfide,-346.0,,,-341.8,,,50.3,,
Mg2,Dimagnesium,,,287.7,,,,,,
Mg2O4Si,Magnesium orthosilicate,-2174.0,,,-2055.1,,,95.1,,
Mn,Manganese,0.0,,280.7,,,238.5,32.0,,173.7
MnN2O6,Manganese(II) nitrate,-576.3,,,,,,,,
MnNa2O4,Sodium permanganate,-1156.0,,,,,,,,
MnO,Manganese(II) oxide,-385.2,,,-362.9,,,59.7,,
MnO2,Manganese(IV) oxide,-520.0,,,-465.1,,,53.1,,
MnO3Si,Manganese(II) metasilicate,-1320.9,,,-1240.5,,,89.1,,
MnS,Manganese(II) sulfide,-214.2,,,-218.4,,,78.2,,
MnSe,Manganese(II) selenide,-106.7,,,-111.7,,,90.8,,
Mn2O3,Manganese(III) oxide,-959.0,,,-881.1,,,110.5,,
Mn2O4Si,Manganese(II) orthosilicate,-1730.5,,,-1632.1,,,163.2,,
Mn3O4,"Manganese(II,III) oxide",-1387.8,,,-1283.2,,,155.6,,
Mo,Molybdenum,0.0,,658.1,,,612.5,28.7,,182.0
MoNa2O4,Sodium molybdate,-1468.1,,,-1354.3,,,159.7,,
MoO2,Molybdenum(IV) oxide,-588.9,,,-533.0,,,46.3,,
MoO3,Molybdenum(VI) oxide,-745.1,,,-668.0,,,77.7,,
MoO4Pb,Lead(II) molybdate,-1051.9,,,-951.4,,,166.1,,
MoS2,Molybdenum(IV) sulfide,-235.1,,,-225.9,,,62.6,,
N,Nitrogen (atomic),,,472.7,,,455.5,,,153.3
NNaO2,Sodium nitrite,-358.7,,,-284.6,,,103.8,,
NNaO3,Sodium nitrate,-467.9,,,-367.0,,,116.5,,
NO,Nitric oxide,,,91.3,,,87.6,,,210.8
NO2,Nitrogen dioxide,,,33.2,,,51.3,,,240.1
NO2Rb,Rubidium nitrite,-367.4,,,-306.2,,,172.0,,
NO3Rb,Rubidium nitrate,-495.1,,,-395.8,,,147.3,,
NO3Tl,Thallium(I) nitrate,-243.9,,,-152.4,,,160.7,,
NP,Phosphorus nitride,-63.0,,,,,,,,
N2,Nitrogen,,,0.0,,,,,,191.6
N2O,Nitrous oxide,,,81.6,,,103.7,,,220.0
N2O3,Nitrogen trioxide,,50.3,86.6,,,142.4,,,314.7
N2O4,Nitrogen tetroxide,,-19.5,11.1,,97.5,99.8,,209.2,304.4
N2O4Sr,Strontium nitrite,-762.3,,,,,,,,
N2O5,Nitrogen pentoxide,-43.1,,13.3,113.9,,117.1,178.2,,355.7
